timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1525807159511442,-1,-3,-3,-1,12,4,1,-7
1525807159511442,9,-2,-2,-5,-1,3,2,21
1525807159519459,6,2,-3,-4,-10,-5,-2,-1
1525807159519459,-3,0,-3,-9,1,13,6,-2
1525807159534441,13,8,10,12,3,-17,-8,3
1525807159534441,-12,-9,-2,-7,-21,5,3,-10
1525807159535427,3,2,-4,20,33,4,-1,1
1525807159535427,-6,-4,-12,-39,-19,-1,0,-2
1525807159557496,-4,-2,-3,1,-1,2,1,1
1525807159557496,0,1,3,1,0,-1,-5,-5
1525807159557496,-3,-2,1,4,-7,-1,-2,1
1525807159557496,-3,-2,7,17,4,6,3,-2
1525807159571459,2,-4,-5,-5,-1,-1,1,2
1525807159571459,3,5,-2,-6,0,4,0,-1
1525807159579460,-3,-1,-1,-2,-2,0,4,2
1525807159579460,-15,-8,-5,-1,3,6,-3,-7
1525807159594462,12,2,-1,-5,-5,3,1,7
1525807159594462,6,4,4,2,-2,-5,-1,3
1525807159595439,-16,-5,-6,-14,-10,-2,-4,-11
1525807159595439,4,-4,4,21,1,-8,-5,2
1525807159617441,-6,3,-11,-28,-8,21,7,-5
1525807159617441,6,-4,-12,-5,8,-2,-4,-11
1525807159618442,-29,-14,1,-2,-12,-29,-6,-2
1525807159618442,35,17,16,21,-1,9,2,15
1525807159631461,-6,-7,-8,-7,-5,-21,-3,-14
1525807159631461,1,9,11,3,-7,21,8,6
1525807159639459,9,1,-5,-7,-5,8,1,7
1525807159639459,-25,-5,5,15,3,-18,-4,-17
1525807159654495,-4,-2,6,18,-2,-8,-5,-14
1525807159654495,19,9,7,0,-6,-9,0,11
1525807159655429,24,3,1,5,2,27,6,17
1525807159655429,-22,-8,-10,-26,-4,-8,-7,-12
1525807159677460,6,2,6,6,8,9,4,10
1525807159677460,-10,-7,-13,-2,-1,-14,-1,-5
1525807159677460,14,8,10,16,13,-9,-1,3
1525807159677460,-2,-3,-6,-8,-7,0,-2,-5
1525807159692493,0,-2,1,0,20,11,3,6
1525807159692493,-5,-6,1,1,-4,-16,-5,-4
1525807159692493,-8,1,1,1,-6,3,-1,-12
1525807159692493,1,-3,-4,-11,2,1,2,5
1525807159714459,8,6,0,3,-5,-4,0,5
1525807159714459,-12,-1,-3,-7,-5,-1,-3,-5
1525807159715439,18,2,0,-1,12,12,2,5
1525807159715439,-9,-2,-4,-6,0,0,-1,-3
1525807159737537,4,0,-1,2,-3,1,1,5
1525807159737537,-1,-3,-4,-6,-2,5,-2,-5
1525807159737537,13,20,11,7,21,0,-1,1
1525807159737537,-15,-15,-10,-12,-16,-5,0,0
1525807159760564,8,23,5,0,4,4,4,6
1525807159760564,-11,-11,0,9,1,5,1,1
1525807159761561,-14,-21,-11,-17,-30,-9,-2,-15
1525807159761561,17,5,7,17,39,0,1,38
1525807159774529,-10,-9,-5,-5,-2,-1,-1,-17
1525807159774529,3,8,-2,-4,-5,-5,-1,-1
1525807159775509,-5,-3,-3,2,-1,5,3,-6
1525807159775509,4,6,-1,-6,-15,-4,-5,-9
1525807159797564,1,-7,-3,-5,1,8,2,9
1525807159797564,1,4,7,15,5,-3,-2,-6
1525807159797564,-5,-5,-4,-8,0,4,-4,-3
1525807159797564,-3,0,-3,2,1,11,11,-2
1525807159820528,1,0,3,8,-8,-10,-5,4
1525807159820528,-5,-7,0,-15,1,4,-1,-4
1525807159821496,-1,0,-3,-3,-10,-19,0,5
1525807159821496,4,5,6,13,17,14,1,-2
1525807159842530,0,-3,3,7,-7,2,-1,-1
1525807159842530,-5,-2,0,-2,-7,-5,-1,0
1525807159843497,2,1,1,8,11,13,4,3
1525807159843497,2,0,-6,-21,-15,-9,-5,-7
1525807159857529,-4,-3,2,-9,-5,-10,-3,-1
1525807159857529,7,-4,0,5,7,-1,-5,7
1525807159857529,8,10,5,-1,-11,4,2,2
1525807159857529,-24,-15,-12,-13,1,-25,-12,-36
1525807159880529,-12,3,4,-5,-8,-6,-1,-11
1525807159880529,-4,4,9,27,7,0,5,5
1525807159881496,-3,-6,-18,-7,14,1,-1,-5
1525807159881496,12,1,3,2,-18,14,10,11
1525807159894528,-17,-14,-1,-2,-6,-13,-16,-9
1525807159894528,18,15,5,-4,6,0,4,3
1525807159895529,10,-4,-4,-8,8,-8,-3,8
1525807159895529,-9,1,0,-5,-20,-6,-3,5
1525807159917572,7,-2,-6,-3,12,21,5,6
1525807159917572,-7,-4,-3,4,1,-4,0,-3
1525807159917572,3,1,2,-9,-16,-3,-2,-1
1525807159917572,8,3,1,0,0,-4,-3,4
1525807159940563,8,0,1,9,-9,-8,-1,4
1525807159940563,-5,-3,-7,-9,5,-3,-4,-7
1525807159941554,-15,-3,4,3,0,1,0,-10
1525807159941554,0,1,1,5,1,-6,-1,0
1525807159954616,6,-2,-4,-1,-6,-9,-1,2
1525807159954616,-2,6,0,-3,5,13,5,-2
1525807159955573,-8,-5,4,14,16,-17,-7,1
1525807159955573,6,0,1,6,-4,8,6,2
1525807159977584,5,3,-3,-6,10,3,-4,3
1525807159977584,-2,-8,-10,-9,-7,2,0,-3
1525807159977584,9,9,6,11,11,5,2,7
1525807159977584,-3,11,7,0,-9,-9,-8,-8
1525807160000565,-11,-9,-10,-11,-20,-2,5,-2
1525807160000565,2,-5,5,14,24,7,-1,-2
1525807160001550,3,-7,-5,-3,-8,-3,-2,5
1525807160001550,-2,2,-3,-8,-4,7,2,-3
1525807160014615,5,4,3,6,2,-7,-5,0
1525807160014615,1,1,-5,-18,-23,-4,0,2
1525807160015550,-4,3,-1,-10,-2,1,-2,-6
1525807160015550,4,-4,4,27,17,-2,-1,2
1525807160037573,-1,4,-1,-9,-4,2,-2,3
1525807160037573,1,-3,1,7,12,-4,1,0
1525807160037573,-3,1,-2,-19,-20,-19,-6,-8
1525807160037573,-1,-4,-14,-9,14,9,1,-2
1525807160060552,-3,-5,0,16,1,-20,-2,-3
1525807160060552,0,-2,-4,-4,2,12,-2,0
1525807160061549,-2,-1,1,0,-15,1,-1,-3
1525807160061549,3,3,7,2,-7,-18,-1,5
1525807160082617,-10,-12,1,-1,6,5,1,-2
1525807160082617,0,1,-2,-9,-4,-9,-4,2
1525807160083572,-7,-2,-1,0,-9,-3,-2,-4
1525807160083572,0,-1,-3,9,9,6,0,0
1525807160097549,6,10,2,1,5,4,-1,-3
1525807160097549,-10,-1,0,1,-11,-10,-3,-4
1525807160097549,2,-1,4,3,4,-2,0,-4
1525807160097549,-10,-10,-12,-3,-10,-20,-3,-8
1525807160120583,11,11,6,-18,15,30,12,18
1525807160120583,-15,-9,-4,18,17,-4,-12,-11
1525807160121558,15,12,6,27,17,3,4,12
1525807160121558,-8,-7,-3,-15,-21,-16,-8,-10
1525807160134563,19,0,10,16,-1,48,10,8
1525807160134563,-31,-4,-7,-18,-18,-24,-5,-13
1525807160135550,10,12,4,7,21,10,8,4
1525807160135550,0,-4,-2,16,0,-21,-5,5
1525807160157564,-1,1,-3,-24,-9,-5,0,-2
1525807160157564,4,-2,-2,-4,-3,10,4,5
1525807160158548,-8,-9,-6,5,-2,8,-4,-4
1525807160158548,5,8,10,-3,7,-1,1,1
1525807160180562,-8,-4,-7,-2,-14,-11,-2,-6
1525807160180562,0,-1,-6,-4,1,6,2,2
1525807160180562,2,-2,-6,-14,-19,-13,-3,-2
1525807160180562,5,3,4,-1,8,9,0,4
1525807160194617,-7,-3,0,15,10,-8,-7,-4
1525807160194617,5,-1,-1,-11,-13,0,-2,1
1525807160195567,-4,-5,1,6,1,5,2,0
1525807160195567,-3,-2,-3,-3,22,22,2,-2
1525807160217550,-1,-1,-2,6,-11,-1,0,-3
1525807160217550,3,4,7,4,-9,-18,-4,2
1525807160217550,-6,-5,-9,-9,7,4,0,-2
1525807160217550,0,0,-1,-3,2,7,-1,2
1525807160240581,-1,3,-2,1,15,-7,2,-1
1525807160240581,4,3,3,5,-3,2,0,2
1525807160241559,4,-5,-2,-2,4,3,0,5
1525807160241559,7,-1,2,-1,-5,4,1,2
1525807160254616,-9,0,1,6,5,-10,-5,-8
1525807160254616,8,-3,-5,-11,-19,0,2,12
