timestamp,roll,pitch,yaw
1525807148901079,0.0304592,-0.357159,0.367485
1525807148924067,0.0290781,-0.357289,0.367972
1525807148938074,0.02864,-0.357387,0.368945
1525807148961150,0.029875,-0.35701,0.36947
1525807148984116,0.0315275,-0.355344,0.370401
1525807149004256,0.0335986,-0.354327,0.369774
1525807149021256,0.0330002,-0.353911,0.368619
1525807149043251,0.0282678,-0.354388,0.368443
1525807149064274,0.0255045,-0.354878,0.36856
1525807149082274,0.0280738,-0.354862,0.368371
1525807149103282,0.0326204,-0.354438,0.368059
1525807149124241,0.0345082,-0.354295,0.368225
1525807149141311,0.0328367,-0.355129,0.368295
1525807149163280,0.0296726,-0.355313,0.368854
1525807149184345,0.0295464,-0.355289,0.368875
1525807149201311,0.0321115,-0.354534,0.369412
1525807149229312,0.0348881,-0.35365,0.368911
1525807149244311,0.0338154,-0.353404,0.368085
1525807149261318,0.0301881,-0.35395,0.367349
1525807149283283,0.0274251,-0.354561,0.367339
1525807149304312,0.0296994,-0.355237,0.367325
1525807149321312,0.0320922,-0.355306,0.367281
1525807149343281,0.0336744,-0.354855,0.367375
1525807149364311,0.033074,-0.355121,0.367601
1525807149387312,0.0303926,-0.355527,0.368088
1525807149403279,0.0292565,-0.356124,0.368946
1525807149426383,0.0305811,-0.355483,0.369182
1525807149441400,0.0332105,-0.354341,0.369082
1525807149469417,0.0318427,-0.353583,0.369064
1525807149486363,0.0297233,-0.354272,0.368184
1525807149501389,0.0267576,-0.354965,0.367846
1525807149523350,0.0265486,-0.355626,0.366874
1525807149546356,0.0293931,-0.355649,0.366509
1525807149560354,0.0328854,-0.355164,0.366506
1525807149583353,0.0342369,-0.354778,0.366383
1525807149606383,0.0325795,-0.354857,0.366436
1525807149620373,0.030807,-0.355554,0.367126
1525807149643358,0.0309196,-0.355856,0.367621
1525807149666383,0.0333406,-0.354173,0.367791
1525807149680351,0.036198,-0.353443,0.367415
1525807149703385,0.0345026,-0.354069,0.366325
1525807149709383,0.0295024,-0.35453,0.366346
1525807149731352,0.0282482,-0.355285,0.366191
1525807149748416,0.0302905,-0.355417,0.365972
1525807149769365,0.0334127,-0.355372,0.366164
1525807149793383,0.0344097,-0.355841,0.366514
1525807149808366,0.0322714,-0.356188,0.36675
1525807149829450,0.0308155,-0.355945,0.367383
1525807149851473,0.032219,-0.354732,0.367882
1525807149868526,0.0349956,-0.353487,0.367755
1525807149889516,0.0350907,-0.353125,0.367613
1525807149911532,0.0319274,-0.353787,0.367669
1525807149928550,0.0283934,-0.354651,0.368174
1525807149949515,0.027829,-0.355445,0.368422
1525807149971531,0.0301487,-0.355631,0.368635
1525807149987635,0.0327416,-0.355132,0.368811
1525807150008572,0.0332922,-0.354497,0.369206
1525807150031587,0.0314279,-0.354035,0.369528
1525807150049588,0.0302932,-0.353581,0.369962
1525807150068605,0.0307411,-0.351948,0.370629
1525807150091702,0.0324038,-0.350844,0.37018
1525807150107656,0.032371,-0.350937,0.369561
1525807150128649,0.0274871,-0.352181,0.370182
1525807150151702,0.0236513,-0.354087,0.369884
1525807150175669,0.025114,-0.354483,0.369758
1525807150188660,0.0280045,-0.353778,0.36987
1525807150211666,0.0294827,-0.353418,0.369725
1525807150227651,0.0281009,-0.353297,0.36985
1525807150248649,0.0262964,-0.353966,0.370046
1525807150271721,0.0260442,-0.353918,0.370088
1525807150287690,0.0271469,-0.352886,0.370624
1525807150308754,0.0300368,-0.352184,0.370741
1525807150338787,0.0301172,-0.352579,0.370616
1525807150349755,0.0261254,-0.354073,0.370212
1525807150368722,0.0190857,-0.355631,0.369858
1525807150391798,0.0192236,-0.357038,0.369739
1525807150409822,0.0229049,-0.356985,0.370324
1525807150428786,0.0279154,-0.35619,0.370683
1525807150451786,0.0299227,-0.35556,0.370692
1525807150469771,0.0274641,-0.355265,0.371388
1525807150490786,0.0248134,-0.355452,0.372623
1525807150511804,0.0248395,-0.354726,0.373231
1525807150529772,0.0287297,-0.353327,0.373394
1525807150548804,0.0316572,-0.352226,0.372984
1525807150571806,0.0302939,-0.352814,0.372227
1525807150589803,0.024792,-0.354279,0.371847
1525807150608803,0.0203769,-0.354907,0.371111
1525807150631838,0.022658,-0.354558,0.370692
1525807150649774,0.0272426,-0.354063,0.371017
1525807150668787,0.0286034,-0.353951,0.371274
1525807150691787,0.0269541,-0.354299,0.371709
1525807150709803,0.0256264,-0.354077,0.37232
1525807150728803,0.0254619,-0.352535,0.37268
1525807150751787,0.0273116,-0.351737,0.37234
1525807150769803,0.0272554,-0.352077,0.371607
1525807150788787,0.0224272,-0.352912,0.371577
1525807150811804,0.0204164,-0.354145,0.370953
1525807150829805,0.0224566,-0.354401,0.37061
1525807150848804,0.0264246,-0.35351,0.370522
1525807150871877,0.0293519,-0.352164,0.370358
1525807150896850,0.0288407,-0.351438,0.370431
1525807150908877,0.0277824,-0.350508,0.370979
1525807150931912,0.0288245,-0.348828,0.37115
1525807150949881,0.0299543,-0.348592,0.369924
1525807150970861,0.0275269,-0.349333,0.368596
1525807150991934,0.0214486,-0.34996,0.368786
1525807151009898,0.0211049,-0.350536,0.368747
1525807151030912,0.0246276,-0.350075,0.369242
1525807151051969,0.0279023,-0.349833,0.369556
1525807151069916,0.0284622,-0.349708,0.370084
1525807151090917,0.0261943,-0.350208,0.370999
1525807151111971,0.0244332,-0.348905,0.371668
1525807151130001,0.0275874,-0.347114,0.372079
1525807151151978,0.0314663,-0.346314,0.371641
1525807151171982,0.0303414,-0.347348,0.371231
1525807151188987,0.0235052,-0.349109,0.371708
1525807151218034,0.020297,-0.35051,0.371904
1525807151232020,0.0232957,-0.350587,0.372018
1525807151249053,0.0279675,-0.349833,0.372065
1525807151270019,0.0307289,-0.34935,0.371958
